0, 0, grass, 0, USA, Washington D.C.
1, 58, desert, -1, Null, Null
1, 59, grass, -1, Null, Null
1, 60, grass, -1, Null, Null
1, 61, grass, -1, Null, Null
1, 62, grass, -1, Null, Null
1, 63, grass, -1, Null, Null
2, 0, forest, -1, Null, Null
2, 1, grass, -1, Null, Null
2, 2, forest, -1, Null, Null
2, 3, forest, -1, Null, Null
2, 4, forest, -1, Null, Null
2, 5, grass, -1, Null, Null
2, 6, grass, -1, Null, Null
2, 7, grass, -1, Null, Null
2, 8, grass, -1, Null, Null
2, 9, grass, -1, Null, Null
2, 10, forest, -1, Null, Null
2, 11, forest, -1, Null, Null
2, 12, forest, -1, Null, Null
2, 13, grass, -1, Null, Null
2, 14, grass, -1, Null, Null
2, 15, grass, -1, Null, Null
2, 16, forest, -1, Null, Null
2, 17, grass, -1, Null, Null
2, 18, grass, -1, Null, Null
2, 19, forest, -1, Null, Null
2, 20, forest, -1, Null, Null
2, 21, forest, -1, Null, Null
2, 22, grass, -1, Null, Null
2, 23, grass, -1, Null, Null
2, 24, grass, -1, Null, Null
2, 25, grass, -1, Null, Null
2, 26, grass, -1, Null, Null
2, 27, desert, -1, Null, Null
2, 28, desert, -1, Null, Null
2, 29, forest, -1, Null, Null
2, 30, grass, -1, Null, Null
2, 31, water, -1, Null, Null
2, 32, grass, -1, Null, Null
2, 33, forest, -1, Null, Null
2, 34, forest, -1, Null, Null
2, 35, desert, -1, Null, Null
2, 36, desert, -1, Null, Null
2, 37, forest, -1, Null, Null
2, 38, grass, -1, Null, Null
2, 39, water, -1, Null, Null
2, 40, grass, -1, Null, Null
2, 41, grass, -1, Null, Null
2, 42, desert, -1, Null, Null
2, 43, desert, -1, Null, Null
2, 44, forest, -1, Null, Null
2, 45, grass, -1, Null, Null
2, 46, grass, -1, Null, Null
2, 47, water, -1, Null, Null
2, 48, grass, -1, Null, Null
2, 49, grass, -1, Null, Null
2, 50, desert, -1, Null, Null
2, 51, forest, -1, Null, Null
2, 52, grass, -1, Null, Null
2, 53, grass, -1, Null, Null
2, 54, water, -1, Null, Null
2, 55, water, -1, Null, Null
2, 56, grass, -1, Null, Null
2, 57, grass, -1, Null, Null
2, 58, forest, -1, Null, Null
2, 59, forest, -1, Null, Null
2, 60, grass, -1, Null, Null
2, 61, grass, -1, Null, Null
2, 62, grass, -1, Null, Null
2, 63, grass, -1, Null, Null
3, 0, forest, 1, USSR, Null
3, 1, forest, 1, USSR, Null
3, 2, forest, 1, USSR, Null
3, 3, grass, 1, USSR, Null
3, 4, grass, 1, USSR, Null
3, 5, water, 1, USSR, Null
3, 6, grass, 1, USSR, Null
3, 7, grass, 1, USSR, Null
3, 8, grass, 1, USSR, Null
3, 9, grass, 1, USSR, Null
3, 10, grass, 1, USSR, Null
3, 11, grass, 1, USSR, Null
3, 12, water, 1, USSR, Null
3, 13, grass, 1, USSR, Null
3, 14, grass, 1, USSR, Null
3, 15, grass, 1, USSR, Null
3, 16, grass, 1, USSR, Null
3, 17, water, 1, USSR, Null
3, 18, water, 1, USSR, Null
3, 19, grass, 1, USSR, Null
3, 20, grass, 1, USSR, Null
3, 21, forest, 1, USSR, Null
3, 22, forest, 1, USSR, Null
3, 23, grass, 1, USSR, Null
3, 24, water, 1, USSR, Null
3, 25, water, 1, USSR, Null
3, 26, water, 1, USSR, Null
3, 27, grass, 1, USSR, Null
3, 28, grass, 1, USSR, Null
3, 29, forest, 1, USSR, Null
3, 30, desert, 1, USSR, Null
3, 31, forest, 1, USSR, Null
3, 32, water, 1, USSR, Null
3, 33, water, 1, USSR, Null
3, 34, grass, 1, USSR, Null
3, 35, forest, 1, USSR, Null
3, 36, forest, 1, USSR, Null
3, 37, grass, 1, USSR, Null
3, 38, grass, 1, USSR, Null
3, 39, grass, 1, USSR, Null
3, 40, water, 1, USSR, Null
3, 41, grass, 1, USSR, Null
3, 42, grass, 1, USSR, Null
3, 43, desert, 1, USSR, Null
3, 44, forest, 1, USSR, Null
3, 45, forest, 1, USSR, Null
3, 46, grass, 1, USSR, Null
3, 47, water, 1, USSR, Null
3, 48, grass, 1, USSR, Null
3, 49, forest, 1, USSR, Null
3, 50, forest, 1, USSR, Null
3, 51, desert, 1, USSR, Null
3, 52, desert, 1, USSR, Null
3, 53, grass, 1, USSR, Null
3, 54, grass, 1, USSR, Null
3, 55, water, 1, USSR, Null
3, 56, grass, 1, USSR, Null
3, 57, desert, 1, USSR, Null
3, 58, forest, 1, USSR, Null
3, 59, grass, 1, USSR, Null
3, 60, forest, 1, USSR, Null
3, 61, grass, 1, USSR, Null
3, 62, grass, 1, USSR, Null
3, 63, grass, 1, USSR, Moscow
